epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,19274.3,1.14442,1.10342,1.16682,0.69998,0.57981,0.70623,0.38923,1.86571,1.65647,1.86693,0.000709809,0.000709809,0.000709809
60,19422.3,1.1012,1.08646,1.12019,0.59143,0.66753,0.70796,0.39397,1.83105,1.62457,1.85635,0.000693305,0.000693305,0.000693305
61,19570.4,1.141,1.08179,1.17784,0.67347,0.62448,0.70842,0.38731,1.81239,1.65827,1.87125,0.000676802,0.000676802,0.000676802
62,19718.8,1.05364,1.02227,1.12427,0.46608,0.85871,0.59711,0.32751,1.80804,1.75929,1.87398,0.000660299,0.000660299,0.000660299
63,22440.1,1.19526,1.15715,1.21046,0.52343,0.69249,0.58901,0.32184,1.78934,1.66941,1.83843,0.000643795,0.000643795,0.000643795
64,22589.1,1.04034,1.03257,1.11135,0.48681,0.83177,0.5753,0.30261,1.73541,2.10448,1.76361,0.000627292,0.000627292,0.000627292
65,22737.9,1.14909,1.06428,1.1512,0.61328,0.70579,0.63143,0.33776,1.74438,1.85138,1.77798,0.000610789,0.000610789,0.000610789
66,22885.9,1.02941,0.8871,1.05516,0.51952,0.76104,0.58729,0.31141,1.70214,2.09286,1.74206,0.000594286,0.000594286,0.000594286
67,23033.7,1.09103,1.01106,1.10604,0.5531,0.72577,0.63596,0.33799,1.69916,2.10129,1.71252,0.000577782,0.000577782,0.000577782
68,24955.5,1.07986,0.96314,1.14775,0.59967,0.73022,0.6353,0.32107,1.78315,1.93218,1.76505,0.000561279,0.000561279,0.000561279
69,25102.4,1.09118,1.01636,1.14501,0.61576,0.73396,0.6386,0.32859,1.82614,1.78806,1.80627,0.000544776,0.000544776,0.000544776
70,25250.5,0.99546,0.94164,1.10542,0.65648,0.72186,0.70892,0.37802,1.79029,1.57065,1.7773,0.000528272,0.000528272,0.000528272
71,25398.6,1.10085,0.95008,1.1308,0.63745,0.74069,0.74202,0.37945,1.81026,1.46828,1.80513,0.000511769,0.000511769,0.000511769
72,26720,1.10787,0.95525,1.14192,0.60275,0.74225,0.70946,0.35846,1.82237,1.59674,1.83521,0.000495266,0.000495266,0.000495266
73,26872.6,1.07428,0.95961,1.13777,0.63385,0.64016,0.67288,0.33583,1.885,1.66923,1.90495,0.000478762,0.000478762,0.000478762
74,27018.9,1.0433,0.96886,1.11922,0.6119,0.65727,0.64364,0.3078,1.95934,1.81768,2.01878,0.000462259,0.000462259,0.000462259
75,27164.4,0.99698,0.89827,1.09588,0.65088,0.62911,0.65264,0.30918,1.97542,1.81893,2.06369,0.000445756,0.000445756,0.000445756
76,27291,1.05993,0.92045,1.12896,0.51174,0.77621,0.59522,0.27232,1.94344,2.0472,1.99014,0.000429253,0.000429253,0.000429253
77,27330,1.06632,0.87938,1.0843,0.47858,0.77484,0.5481,0.26736,1.81135,2.28097,1.80345,0.000412749,0.000412749,0.000412749
78,27369.9,1.01387,0.88591,1.09027,0.56558,0.72764,0.58069,0.29261,1.75219,2.19473,1.75236,0.000396246,0.000396246,0.000396246
79,27410.6,0.95358,0.84765,1.0605,0.5637,0.7308,0.58984,0.30071,1.7549,2.09696,1.77316,0.000379743,0.000379743,0.000379743
80,27453.1,0.95633,0.8507,1.06774,0.546,0.78326,0.6096,0.30438,1.82565,1.87758,1.85304,0.000363239,0.000363239,0.000363239
81,27494.5,0.94738,0.8105,1.0435,0.56122,0.76213,0.61113,0.29763,1.85866,1.94842,1.88563,0.000346736,0.000346736,0.000346736
82,27536.2,0.98678,0.84972,1.06231,0.54596,0.78326,0.60494,0.28051,1.92828,1.98029,1.96228,0.000330233,0.000330233,0.000330233
83,27577.9,0.95848,0.82469,1.05641,0.58421,0.75645,0.62361,0.29188,1.95423,2.12737,1.99516,0.000313729,0.000313729,0.000313729
84,27620.6,0.96593,0.82185,1.065,0.61107,0.75509,0.62934,0.296,1.93187,2.18914,1.97466,0.000297226,0.000297226,0.000297226
85,27663.1,0.97288,0.84929,1.08367,0.60653,0.75861,0.63271,0.30406,1.88444,1.96455,1.93052,0.000280723,0.000280723,0.000280723
86,27706.6,0.93999,0.92208,1.05005,0.60049,0.71362,0.62425,0.30528,1.88542,1.99842,1.94621,0.00026422,0.00026422,0.00026422
87,27754.6,0.94457,0.81953,1.07932,0.52785,0.69953,0.57282,0.27801,1.90666,2.27148,1.94866,0.000247716,0.000247716,0.000247716
88,27802.9,1.00455,0.81272,1.07026,0.55591,0.6784,0.60956,0.29944,1.88761,2.20195,1.98043,0.000231213,0.000231213,0.000231213
89,27851.6,0.9478,0.83617,1.05597,0.55694,0.69846,0.60004,0.30228,1.89851,1.99347,1.98956,0.00021471,0.00021471,0.00021471
90,27900.5,1.00411,0.80955,1.07674,0.55626,0.71278,0.61999,0.30041,1.89429,2.09483,1.99875,0.000198206,0.000198206,0.000198206
